,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
6467,Jiménez,Jimenez,27.13,-104.9067,Mexico,MX,MEX,Chihuahua,minor,34281.0,1484452730
6468,Tuxpan,Tuxpan,21.8667,-105.45,Mexico,MX,MEX,Nayarit,minor,34079.0,1484274950
6475,Macuspana,Macuspana,17.7667,-92.6,Mexico,MX,MEX,Tabasco,minor,30661.0,1484086926
6481,Tomatlán,Tomatlan,19.9333,-105.2333,Mexico,MX,MEX,Jalisco,minor,35824.0,1484507470
6498,Escuinapa,Escuinapa,22.9822,-105.7031,Mexico,MX,MEX,Sinaloa,minor,30790.0,1484295544
6511,Nanchital de Lázaro Cárdenas del Río,Nanchital de Lazaro Cardenas del Rio,18.0667,-94.4167,Mexico,MX,MEX,Veracruz,minor,30039.0,1484990539
6514,Soteapan,Soteapan,18.2333,-94.8667,Mexico,MX,MEX,Veracruz,minor,35155.0,1484716801
6515,Santa María Atzompa,Santa Maria Atzompa,17.0794,-96.7869,Mexico,MX,MEX,Oaxaca,,34115.0,1484411990
6526,Tenosique,Tenosique,17.4756,-91.4225,Mexico,MX,MEX,Tabasco,minor,31392.0,1484303350
6528,Putla Villa de Guerrero,Putla Villa de Guerrero,17.0321,-97.9293,Mexico,MX,MEX,Oaxaca,minor,32640.0,1484503444
6532,Santa Isabel,Santa Isabel,32.6314,-115.5756,Mexico,MX,MEX,Baja California,,33604.0,1484050315
6539,Ticul,Ticul,20.3953,-89.5339,Mexico,MX,MEX,Yucatán,,32796.0,1484056090
6541,Calpulalpan,Calpulalpan,19.5869,-98.5683,Mexico,MX,MEX,Hidalgo,minor,33263.0,1484814346
6549,Paso de Ovejas,Paso de Ovejas,19.285,-96.44,Mexico,MX,MEX,Veracruz,minor,33392.0,1484005936
6552,Abasolo,Abasolo,20.4511,-101.5289,Mexico,MX,MEX,Guanajuato,minor,27389.0,1484064616
6553,Paso del Macho,Paso del Macho,18.9667,-96.7167,Mexico,MX,MEX,Veracruz,minor,31890.0,1484203573
6565,Amecameca de Juárez,Amecameca de Juarez,19.1238,-98.7665,Mexico,MX,MEX,México,minor,31687.0,1484353804
6570,Ometepec,Ometepec,16.6833,-98.4167,Mexico,MX,MEX,Guerrero,minor,30271.0,1484936909
6582,San Juan Evangelista,San Juan Evangelista,17.8833,-95.1333,Mexico,MX,MEX,Veracruz,minor,33929.0,1484667360
6604,Ixtapan de la Sal,Ixtapan de la Sal,18.8333,-99.6833,Mexico,MX,MEX,México,minor,30073.0,1484821151
